RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,Is it rude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words to the stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is it rude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is it rude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is it rude to wake a passenger up if you are trying to walk around?,"In general, is it rude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?"
3433167815,Once a year or less,Usually,"6'0""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433166875,Once a year or less,Once in a while,"5'11""",Yes,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433166173,Never,,,,,,,,,,,,,,,
3433154896,Once a year or less,About half the time,Under 5 ft.,No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude"
3433154561,Once a year or less,Usually,"5'8""",No,"Yes, somewhat rude","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433152440,Once a year or less,Always,"5'5""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","No, not at all rude"
3433152270,Once a year or less,Always,"5'7""",Yes,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433151150,Once a year or less,Once in a while,"5'10""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433147945,Once a year or less,Never,"5'6""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433142536,Once a year or less,About half the time,"5'6""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433138607,Once a year or less,Always,"5'10""",No,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433136902,Once a year or less,Once in a while,"5'4""",Yes,"No, not rude at all","Yes, somewhat rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433134491,Once a year or less,Once in a while,"5'6""",Yes,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433134128,Once a year or less,Never,"5'0""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433133066,Once a year or less,Once in a while,"5'9""",No,"No, not rude at all","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433132169,Once a year or less,Usually,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433131247,Once a month or less,Never,"6'0""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433130085,Once a year or less,Never,"5'8""",No,"No, not rude at all","Yes, somewhat rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433128680,Once a month or less,Never,"5'11""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, very rude","Yes, very rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433127456,Once a year or less,Once in a while,"5'5""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433127355,Once a year or less,Always,"5'4""",No,"Yes, very rude","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433127341,Once a year or less,Once in a while,"6'3""",No,"Yes, very rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433126810,Never,,,,,,,,,,,,,,,
3433125333,Once a year or less,Once in a while,Under 5 ft.,No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433125109,A few times per month,Always,"5'3""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude","Yes, very rude"
3433124803,Once a month or less,Never,"6'4""",No,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433123624,Never,,,,,,,,,,,,,,,
3433122984,Never,,,,,,,,,,,,,,,
3433122572,Once a year or less,Never,"5'5""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433120295,Once a year or less,Never,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433119106,A few times per month,Usually,"5'6""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433118974,Once a year or less,Usually,"5'8""",No,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433118369,Never,,,,,,,,,,,,,,,
3433117854,Once a year or less,Never,"5'3""",No,"Yes, very rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433116022,Once a year or less,Always,"5'3""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433113130,Once a month or less,Once in a while,"5'4""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433112973,Once a year or less,Once in a while,"5'8""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433111977,Once a year or less,Always,"5'5""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433111959,Once a year or less,Never,"6'3""",No,"No, not rude at all","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433107832,Once a month or less,Always,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3433107608,Once a year or less,Never,"5'2""",No,"Yes, somewhat rude","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433106334,Never,,,,,,,,,,,,,,,
3433106170,Once a year or less,Once in a while,Under 5 ft.,No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433104895,Once a year or less,Never,"5'5""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433101109,Never,,,,,,,,,,,,,,,
3433100773,Once a year or less,Once in a while,"5'7""",No,"No, not rude at all","Yes, very rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433100648,Once a year or less,Usually,"5'10""",Yes,"Yes, somewhat rude","Yes, very rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433100189,Never,,,,,,,,,,,,,,,
3433099083,Once a month or less,Once in a while,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude"
3433092925,Once a month or less,About half the time,"6'3""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433092542,Once a year or less,Usually,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433092034,Once a year or less,Once in a while,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433091714,Once a year or less,Never,"5'1""",No,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433091359,Once a year or less,Once in a while,"5'7""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433089571,Never,,,,,,,,,,,,,,,
3433089108,Never,,,,,,,,,,,,,,,
3433085566,Once a year or less,Usually,"5'6""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433081885,Once a year or less,Usually,"5'7""",Yes,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433081158,Once a year or less,Never,"5'8""",Yes,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433075339,Never,,,,,,,,,,,,,,,
3433070885,Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433070481,Once a year or less,Never,"5'3""",No,"Yes, very rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433068348,Once a year or less,Never,"5'11""",No,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433066014,Once a month or less,Usually,"5'3""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433065951,Once a year or less,About half the time,"5'4""",Yes,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433065628,Never,,,,,,,,,,,,,,,
3433061705,Once a year or less,About half the time,"5'9""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433060473,Once a month or less,About half the time,"6'3""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude",,
3433060186,Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433059796,Once a year or less,About half the time,"5'5""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433058854,Never,,,,,,,,,,,,,,,
3433058367,Never,,,,,,,,,,,,,,,
3433056786,Once a year or less,Never,"5'4""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433056614,Never,,,,,,,,,,,,,,,
3433055279,Never,,,,,,,,,,,,,,,
3433048675,Once a month or less,Once in a while,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433047339,Once a year or less,Once in a while,"5'8""",No,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433047308,Once a month or less,About half the time,"6'0""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude"
3433046738,Once a year or less,About half the time,"5'7""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433046022,Once a year or less,Always,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433045463,A few times per month,Always,"5'5""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433044521,Once a year or less,Always,"5'6""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude"
3433042186,Once a year or less,Once in a while,"5'7""",No,"Yes, very rude","Yes, very rude",It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude"
3433041420,Once a year or less,Always,"5'5""",No,"Yes, very rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, very rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433040924,Once a year or less,Once in a while,"5'9""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433040828,Once a year or less,Once in a while,"5'8""",No,,,,,,,,,,,,
3433040639,Once a year or less,About half the time,"5'4""",No,"Yes, somewhat rude","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433040502,Once a year or less,Usually,"6'0""",Yes,"Yes, very rude","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433040208,Once a year or less,Never,"5'11""",,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,,,,,,
3433038916,Once a year or less,Usually,"5'2""",No,"Yes, somewhat rude","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433038337,Once a year or less,Never,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433038245,Once a year or less,About half the time,"6'0""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433036321,Once a year or less,Never,"5'2""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude"
3433036205,Never,,,,,,,,,,,,,,,
3433032917,Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433026928,Once a month or less,Once in a while,"5'11""",Yes,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433024395,Never,,,,,,,,,,,,,,,
3433024187,Once a month or less,Once in a while,"6'0""",No,"No, not rude at all","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433020399,Once a year or less,Always,"5'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433018911,Once a year or less,Never,"5'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433016483,Once a year or less,Always,"5'6""",No,"Yes, somewhat rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433011754,Once a year or less,Usually,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433010954,Never,,,,,,,,,,,,,,,
3433010053,Never,,,,,,,,,,,,,,,
3433006165,Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433005536,Once a year or less,Once in a while,"5'7""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433003776,Once a month or less,Usually,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433003301,Once a year or less,About half the time,"5'4""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433000796,Once a year or less,About half the time,"5'5""",Yes,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432997737,Once a year or less,Once in a while,"5'11""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3432993607,Once a year or less,Once in a while,"5'5""",No,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3432985328,Once a month or less,Once in a while,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude"
3432985270,Once a year or less,Always,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432984528,Once a year or less,About half the time,"5'11""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432984086,Once a year or less,Usually,"5'11""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432983878,Never,,,,,,,,,,,,,,,
3432982461,A few times per month,About half the time,"5'6""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
